CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,,,,,,,,
0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,,,,,,,,
0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,,,,,,,,
0.08873,21,,0,0.439,5.963,45.7,6.8147,4,243,16.8,,,,,,,,
0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,,,,,,,,
0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,,,,,,,,
0.04981,21,5.64,0,0.439,5.998,21.4,7.3197,4,243,16.8,,,,,,,,
0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,2.11,,,,,,,,
0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,,,,,,,,
0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,,,,,,,,
0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,,,,,,,,
0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,,,,,,,,
0.10328,25,,0,0.453,5.927,47.2,6.932,8,284,19.7,,,,,,,,
0.14932,25,****,0,0.453,5.741,66.2,7.2254,8,284,19.7,,,,,,,,
0.17171,25,,0,0.453,5.966,93.4,6.8185,8,284,19.7,,,,,,,,
0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,,,,,,,,
0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,,,,,,,,
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,,,,,,,,
0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,,,,,,,,
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,,,,,,,,
0.05789,12.5,3.4,0,0.409,5.878,21.4,6.498,4,345,18.9,,,,,,,,
0.13554,12.5,****,0,0.409,5.594,36.8,6.498,4,345,18.9,,,,,,,,
0.12816,12.5,****,0,0.409,5.885,33,6.498,4,345,18.9,,,,,,,,
0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,,,,,,,,
0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,,,,,,,,
0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,,,,,,,,
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,,,,,,,,
0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,177,,,,,,,,
0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,,,,,,,,
0.10153,0,NA,0,0.437,6.279,74.5,4.0522,5,398,18.7,,,,,,,,
0.08707,0,,0,0.437,6.14,45.8,4.0905,5,398,18.7,,,,,,,,
0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,,,,,,,,
0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,,,,,,,,
0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,,,,,,,,
0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,,,,,,,,
0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,,,,,,,,
0.03551,25,,0,0.426,6.167,46.7,5.4007,4,281,19,,,,,,,,
0.05059,0,,0,*****,6.389,48,4.7794,3,247,18.5,,,,,,,,
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,,,,,,,,
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,,,,,,,,
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,,,,,,,,
0.0566,0,3.41,0,0.489,7.007,86.3,,2,270,18.5,,,,,,,,
0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,,,,,,,,
0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,,,,,,,,
0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,,,,,,,,
0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,,,,,,,,
0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,,,,,,,,
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,,,,,,,,
0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,,,,,,,,
0.11504,0,2.89,0,*****,6.163,69.6,3.4952,2,276,18,,,,,,,,
0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,,,,,,,,
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,,,,,,,,
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,,,,,,,,
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,Alina,,,,,,,,
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,,,,,,,,
0.22876,0,NA,0,0.52,6.405,85.4,2.7147,5,384,20.9,,,,,,,,
0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,,,,,,,,
0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,,,,,,,,
0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,,,,,,,,
0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,,,,,,,,
0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,,,,,,,,
0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,,,,,,,,
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,,,,,,,,
0.10793,0,,0,0.52,6.195,54.4,2.7778,5,384,##,,,,,,,,
0.10084,0,10.01,0,*****,6.715,81.6,2.6775,6,432,17.8,,,,,,,,
0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,,,,,,,,
0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,,,,,,,,
0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,,,,,,,,
0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,,,,,,,,
0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,,,,,,,,
0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,Adam,,,,,,,,
0.13058,0,*****,0,0.547,5.872,73.1,2.4775,6,432,17.8,,,,,,,,
0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,,,,,,,,
0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,,,,,,,,
0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,,,,,,,,
0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,,,,,,,,
0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,,,,,,,,
0.09849,0,,0,0.581,5.879,95.8,2.0063,2,188,19.1,,,,,,,,
0.16902,0,,0,0.581,5.986,88.4,1.9929,2,188,19.1,,,,,,,,
0.38735,0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,,,,,,,,
0.25915,0,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,,,,,,,,
0.32543,0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,,,,,,,,
0.88125,0,,0,0.624,5.637,94.7,1.9799,4,437,21.2,,,,,,,,
0.34006,0,21.89,0,0.624,6.458,98.9,,4,437,21.2,,,,,,,,
1.19294,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,,,,,,,,
0.59005,0,21.89,0,0.624,6.372,97.9,2.3274,4,437,21.2,,,,,,,,
0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,,,,,,,,
0.97617,0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,,,,,,,,
0.55778,0,21.89,0,0.624,6.335,98.2,2.1107,4,437,21.2,,,,,,,,
0.32264,0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,,,,,,,,
0.35233,0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,,,,,,,,
0.2498,0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,,,,,,,,
0.54452,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,,,,,,,,
0.2909,0,21.89,0,0.624,6.174,93.6,1.6119,4,437,21.2,,,,,,,,
1.62864,0,21.89,0,0.624,5.019,100,1.4394,4,437,21.2,,,,,,,,
3.32105,0,19.58,1,&&&,5.403,100,1.3216,5,403,14.7,,,,,,,,
4.0974,0,19.58,0,0.871,5.468,100,1.4118,5,403,14.7,,,,,,,,
2.77974,0,19.58,0,0.871,4.903,97.8,1.3459,5,403,51.3,,,,,,,,
2.37934,0,19.58,0,0.871,6.13,100,1.4191,5,403,50.3,,,,,,,,
0.13914,0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,,,,,,,,
0.09178,0,NA,0,0.51,6.416,84.1,2.6463,5,296,16.6,,,,,,,,
0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,,,,,,,,
0.06664,0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,,,,,,,,
0.07022,0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,,,,,,,,
0.05425,0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,,,,,,,,
0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,,,,,,,,
0.0578,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,,,,,,,,
0.06588,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,,,,,,,,
0.06888,0,NA,0,0.488,6.144,62.2,2.5979,3,193,17.8,,,,,,,,
0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,,,,,,,,
0.10008,0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,,,,,,,,
0.08308,0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,,,,,,,,
0.06047,0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,,,,,,,,
0.05602,0,2.46,0,,7.831,53.6,,3,193,17.8,,,,,,,,
0.07875,45,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,,,,,,,,
0.12579,45,3.44,0,0.437,6.556,29.1,4.5667,5,398,15.2,,,,,,,,
0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,,,,,,,,
0.09068,45,NA,0,0.437,6.951,21.5,6.4798,5,398,15.2,,,,,,,,
0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,,,,,,,,
0.08664,45,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,,,,,,,,
